time,block4a,base,block4a_diff,base_diff,soil_moisture,soil_moisture_diff,infiltration,infiltration_diff,precipitation,temperature,frost,frost_days,ftc,ftc_days
2021-01-22,28.492526736714,24.5209918989947,1.08551921329652,-0.425527330943392,49,0,0,0,0.2,-0.549999999999955,1,31,0,0
2021-01-23,30.2471674432532,23.8721848481612,1.75464070653917,-0.648807050833483,49,0,0,0,2.8,-1.54999999999995,1,32,0,0
2021-01-24,29.0448887360511,25.0727793128703,-1.20227870720212,1.20059446470914,49,0,0,0,0,-3.94999999999999,1,33,0,0
2021-01-25,29.1992337594319,23.0318475083252,0.15434502338087,-2.04093180454507,49,0,0,0,0,-10.35,1,34,0,0
2021-01-26,28.4409093054709,21.6588496267758,-0.758324453960995,-1.37299788154946,48,-1,0,0,0,-11.35,1,35,0,0
2021-01-27,27.2617659818642,21.8324805669462,-1.17914332360668,0.17363094017044,48,0,0,0,0.3,-9.54999999999995,1,36,0,0
2021-01-28,27.5283314743316,22.8306080642898,0.2665654924674,0.998127497343567,48,0,0,0,0,-13.15,1,37,0,0
2021-01-29,29.5737935880809,23.6777293412263,2.04546211374927,0.847121276936473,48,0,0,0,1.7,-12.35,1,38,0,0
2021-01-30,29.7422305336756,23.4564334003958,0.168436945594632,-0.221295940830451,48,0,0,0,1.7,-11.45,1,39,0,0
2021-01-31,30.0249696377962,24.1166615567013,0.282739104120612,0.660228156305497,48,0,0,0,0.2,-7.54999999999995,1,40,0,0
2021-02-01,29.7232978551929,24.6053075575142,-0.301671782603297,0.488646000812846,48,0,0,0,0.1,-10.65,1,41,0,0
2021-02-02,29.4650620703583,24.9347886902452,-0.258235784834607,0.329481132731061,48,0,0,0,0,-14.35,1,42,0,0
2021-02-03,29.4997034496227,25.2268771699936,0.0346413792644782,0.292088479748408,48,0,0,0,0,-14.05,1,43,0,0
2021-02-04,29.794223591625,25.4837667896314,0.294520142002252,0.256889619637775,48,0,0,0,0,-15.15,1,44,0,0
2021-02-05,30.3156240950037,25.7076513420305,0.521400503378725,0.223884552399142,48,0,0,0,0.1,-16.55,1,45,0,0
2021-02-06,31.0309065583976,25.9007246200631,0.71528246339388,0.193073278032507,48,0,0,0,0.1,-12.25,1,46,0,0
2021-02-07,31.9070725804453,26.0651804166009,0.87616602204772,0.164455796537897,47,-1,0,0,0.1,-13.55,1,47,0,0
2021-02-08,32.9111237597856,26.2032125245163,1.00405117934028,0.138032107915304,47,0,0,0,0,-13.05,1,48,0,0
2021-02-09,34.0100616950571,26.3170147366809,1.09893793527149,0.113802212164689,47,0,0,0,0.4,-11.95,1,49,0,0
2021-02-10,35.1708879848985,26.408780845967,1.16082628984142,0.0917661092861017,47,0,0,0,0,-14.55,1,50,0,0
2021-02-11,36.3606042279485,26.4807046452466,1.18971624305002,0.0719237992795208,47,0,0,0,0,-13.65,1,51,0,0
2021-02-12,37.5462120228458,26.5349799273915,1.18560779489732,0.0542752821449497,47,0,0,0,0,-16.35,1,52,0,0
2021-02-13,38.6947129682292,26.5738004852739,1.14850094538333,0.0388205578823886,47,0,0,0,0,-14.65,1,53,0,0
2021-02-14,39.7731086627372,26.5993601117657,1.07839569450799,0.0255596264918161,47,0,0,0,0,-13.45,1,54,0,0
2021-02-15,40.7484007050085,26.613852599739,0.975292042271356,0.0144924879732784,47,0,0,0,0.4,-7.44999999999999,1,55,0,0
2021-02-16,41.5875906936819,26.6194717420657,0.839189988673411,0.00561914232672578,47,0,0,0,1,-4.64999999999998,1,56,0,0
2021-02-17,42.2576802273961,26.6184113316179,0.670089533714169,-0.0010604104478027,47,0,0,0,1.8,-4.14999999999998,1,57,0,0
2021-02-18,42.7256709047897,26.6128651612676,0.467990677393601,-0.00554617035032123,47,0,0,0,1,-5.54999999999995,1,58,0,0
2021-02-19,42.9585643245014,26.6050270238868,0.232893419711736,-0.00783813738084405,47,0,0,0,1.1,-3.04999999999995,1,59,0,0
2021-02-20,42.92336208517,26.5970907123474,-0.0352022393314471,-0.00793631153934626,47,0,0,0,0.4,-0.449999999999989,1,60,1,1
2021-02-21,42.587065785434,26.5912500195216,-0.336296299735949,-0.00584069282585276,46,-1,0,0,3.3,2.85000000000002,0,0,1,2
2021-02-22,41.9166770239323,26.5896987382812,-0.670388761501741,-0.00155128124033865,46,0,0,0,2,1.55000000000001,0,0,0,0
2021-02-23,40.8791973993035,26.5946306614984,-1.03747962462885,0.00493192321717473,46,0,0,0,2.1,2.35000000000002,0,0,0,0
2021-02-24,39.4416285101862,26.6082395820451,-1.43756888911727,0.0136089205467016,46,0,0,0,9.9,1.35000000000002,0,0,0,0
2021-02-25,37.5709719552192,26.6327192927933,-1.87065655496701,0.0244797107482277,46,0,0,0,5.4,2.45000000000005,0,0,0,0
2021-02-26,35.2342293330411,26.6702635866151,-2.33674262217805,0.0375442938217709,46,0,0,0,8.3,0.650000000000034,0,0,0,0
2021-02-27,32.3984022422907,26.7230662563824,-2.83582709075041,0.0528026697673205,46,0,0,0,0.1,0.75,0,0,0,0
2021-02-28,29.9305113186481,26.592412426437,-2.46789092364264,-0.130653829945455,46,0,0,0,0.4,0.850000000000023,0,0,1,1
2021-03-01,30.3381117835484,26.0192125073264,0.40760046490033,-0.573199919110561,46,0,0,0,0,-1.14999999999998,1,1,1,2
2021-03-02,30.453021242466,26.7126780109408,0.114909458917616,0.693465503614394,46,0,0,0,0,0.650000000000034,0,1,0,0
2021-03-03,30.1971541250245,27.9099601237507,-0.255867117441536,1.19728211280994,46,0,0,0,0,-1.44999999999999,1,2,0,0
2021-03-04,30.7548344574873,28.0443799607901,0.557680332462795,0.134419837039381,46,0,0,0,0.1,-3.14999999999998,1,3,0,0
2021-03-05,32.4012922595162,26.1831055467004,1.64645780202896,-1.86127441408967,46,0,0,0,0.1,-5.94999999999999,1,4,0,0
2021-03-06,32.5524339649111,25.1204891874489,0.151141705394842,-1.06261635925153,46,0,0,0,0,-3.25,1,5,0,0
2021-03-07,31.2926891982066,28.0938620072435,-1.25974476670449,2.97337281979461,46,0,0,0,2.7,-3.14999999999998,1,6,0,0
2021-03-08,30.8710394281637,26.1076125266403,-0.421649770042929,-1.98624948060324,46,0,0,0,0,-8.04999999999995,1,7,0,0
2021-03-09,31.9643627679282,26.5946867125043,1.09332333976457,0.487074185864056,45,-1,0,0,0,-6.75,1,8,0,0
2021-03-10,33.9337120115328,27.2194503337941,1.96934924360459,0.624763621289738,45,0,0,0,0,-4.84999999999997,1,9,0,0
2021-03-11,34.0819494326808,26.2032774049225,0.148237421148004,-1.01617292887156,45,0,0,0,0.3,-4.14999999999998,1,10,0,0
2021-03-12,31.5983509654604,26.8118831706866,-2.48359846722043,0.608605765764061,45,0,0,0,3,-2.04999999999995,1,11,0,0
2021-03-13,32.1717471813982,26.9392615065325,0.573396215937848,0.127378335845922,45,0,0,0,0.7,-2.25,1,12,0,0
2021-03-14,33.077685980752,27.4497888282861,0.905938799353805,0.510527321753603,45,0,0,0,0,-3.34999999999997,1,13,0,0
2021-03-15,30.9512415209021,26.265791125444,-2.12644445984998,-1.18399770284206,45,0,0,0,0.1,-4.64999999999998,1,14,0,0
2021-03-16,31.4384150166286,28.1062706334742,0.487173495726534,1.84047950803012,45,0,0,0,2.8,-3.54999999999995,1,15,0,0
2021-03-17,32.3439858710866,25.9152536404834,0.90557085445797,-2.19101699299077,45,0,0,0,0.1,-7.14999999999998,1,16,0,0
2021-03-18,30.9635398912129,27.7242775097571,-1.38044597987366,1.80902386927371,45,0,0,0,0,-4.34999999999997,1,17,0,0
2021-03-19,31.5209767425572,27.6829021347397,0.557436851344299,-0.0413753750173811,45,0,0,0,0,-2.64999999999998,1,18,0,0
2021-03-20,30.8873117806118,26.374181040595,-0.633664961945364,-1.30872109414477,45,0,0,0,0,-0.0499999999999545,1,19,0,0
2021-03-21,32.2120931798076,25.7569430877576,1.32478139919577,-0.617237952837382,45,0,0,0,1.6,-0.849999999999966,1,20,0,0
2021-03-22,30.9870828863907,26.8768052934554,-1.22501029341693,1.11986220569783,45,0,0,0,0,-1.94999999999999,1,21,1,1
2021-03-23,31.1510630878668,26.6418782039867,0.163980201476122,-0.234927089468698,44,-1,0,0,0.1,1.45000000000005,0,0,1,2
2021-03-24,31.9527908502722,27.0150263354178,0.801727762405392,0.373148131431101,44,0,0,0,0.5,1.65000000000003,0,0,1,3
2021-03-25,29.5008345539774,26.6673639311758,-2.45195629629485,-0.34766240424204,44,0,0,0,3.4,-0.649999999999977,1,1,1,4
2021-03-26,31.8291566440364,26.0926442639871,2.32832209005905,-0.574719667188717,44,0,0,0,0.9,-0.149999999999977,1,2,1,5
2021-03-27,31.7394940455555,26.4681625371605,-0.0896625984808566,0.375518273173441,44,0,0,0,1.5,0.850000000000023,0,0,1,6
2021-03-28,31.9468995545156,26.5598590450297,0.207405508960065,0.0916965078691838,44,0,0,0,0,-1.25,1,1,1,7
2021-03-29,30.1775870602202,25.8122735467742,-1.76931249429544,-0.747585498255461,44,0,0,0,5.8,0.25,0,0,1,8
2021-03-30,34.6268214002506,24.5366614289884,4.44923434003043,-1.27561211778581,44,0,0,0,8,2.05000000000001,0,0,0,0
2021-03-31,37.2816361554838,24.952850381642,2.6548147552332,0.416188952653631,44,0,0,0,10.5,2.75,0,0,1,1
2021-04-01,31.5757509779564,27.3199490352688,-5.70588517752741,2.36709865362681,44,0,0,0,0,-0.849999999999966,1,1,1,2
2021-04-02,31.1918022976412,25.8483092303257,-0.383948680315161,-1.47163980494313,44,0,0,0,0.9,-0.849999999999966,1,2,0,0
2021-04-03,32.2206449920456,25.1663978249366,1.02884269440433,-0.681911405389066,44,0,0,0,0,-2.14999999999998,1,3,0,0
2021-04-04,32.6333652499037,25.9376942023858,0.41272025785819,0.771296377449144,44,0,0,0,0,-0.449999999999989,1,4,0,0
2021-04-05,32.5228262716681,26.9114629426833,-0.110538978235631,0.973768740297494,44,0,0,0,8.9,-4.34999999999997,1,5,0,0
2021-04-06,31.981891257791,26.8369686258393,-0.54093501387711,-0.0744943168440067,44,0,0,0,3.4,-5.04999999999995,1,6,0,0
2021-04-07,31.3714685999922,25.7112099483634,-0.610422657798768,-1.12575867747585,44,0,0,0,0.2,-3.14999999999998,1,7,0,0
2021-04-08,31.7274673741775,26.572081756587,0.355998774185256,0.860871808223521,44,0,0,0,0.6,-4.54999999999995,1,8,0,0
2021-04-09,32.6656386922545,26.8935646401888,0.938171318076961,0.321482883601835,44,0,0,0,5.7,-3.64999999999998,1,9,0,0
