date,CLP1,CLP5,CLP6,RiverLevel,RiverTemp,RiverCond,AirTemp,Precipitation,NDD,NDD_cum,FTC,FTC_cum,CLP1_diff,CLP5_diff,CLP6_diff
2021-07-29,0.0,0.0,0.0,0.21,11.7427083333333,1.19416666666667,20.62,0.2,0,0,0,0,0.0,0.0,0.0
2021-07-30,0.0109829144268474,-0.0129573012883126,0.0087514913014868,0.21,12.1370833333333,1.22491666666667,19.29,0.2,0,0,0,0,0.0109829144268474,-0.0129573012883126,0.0087514913014868
2021-07-31,0.0139635718243127,-0.0032031691976126,0.0686065958928148,0.21,12.01375,1.17039583333333,17.33,11.4,0,0,0,0,0.0029806573974653014,0.0097541320907,0.059855104591328
2021-08-01,0.0035269548553813,-0.0064120318873143,0.0290988556476023,0.21,11.7035416666667,1.17485416666667,16.21,0.0,0,0,0,0,-0.0104366169689314,-0.0032088626897016997,-0.0395077402452125
2021-08-02,0.0032738452197023,-0.0100961085756448,0.0140574001863787,0.21,11.4852083333333,1.242125,15.6,0.0,0,0,0,0,-0.0002531096356790004,-0.0036840766883305008,-0.015041455461223601
2021-08-03,0.0281965234005312,-0.0109639189312274,0.0499019608833159,0.21,11.4254166666667,1.11808333333333,17.94,0.0,0,0,0,0,0.0249226781808289,-0.0008678103555825999,0.0358445606969372
2021-08-04,0.0356282971688841,0.0039743244493977,0.0104497129147168,0.21,11.4370833333333,1.1940625,12.37,7.2,0,0,0,0,0.007431773768352898,0.014938243380625101,-0.0394522479685991
2021-08-05,0.0435628193415738,0.0088532867093367,0.011627729787022,0.21,11.5627083333333,1.21289583333333,17.32,0.0,0,0,0,0,0.007934522172689702,0.004878962259939001,0.001178016872305199
2021-08-06,0.0335060453478064,0.016356477581834,0.0194795354154045,0.21,11.8670833333333,1.21804166666667,19.16,0.0,0,0,0,0,-0.0100567739937674,0.007503190872497298,0.007851805628382502
2021-08-07,0.0266646651130599,0.0034752104976694,0.0220536527586701,0.21,11.825,1.2573125,17.05,0.0,0,0,0,0,-0.006841380234746501,-0.012881267084164599,0.0025741173432655973
2021-08-08,0.0464989040896881,-0.0020005885897901,0.0356544948078078,0.21,11.6854166666667,1.26127083333333,17.33,0.0,0,0,0,0,0.0198342389766282,-0.0054757990874595,0.013600842049137703
2021-08-09,0.0375224820421209,0.0066192021024219,0.0131940630588155,0.21,11.53875,1.26404166666667,19.45,0.0,0,0,0,0,-0.008976422047567198,0.008619790692212,-0.0224604317489923
2021-08-10,0.0400775840251412,-0.0011111544328605,0.0481176755465182,0.21,12.4272916666667,1.2675,20.99,0.0,0,0,0,0,0.002555101983020301,-0.007730356535282401,0.0349236124877027
2021-08-11,0.0473652294418869,0.0212338853508108,0.155840493774885,0.21,12.6070833333333,1.271,23.43,0.0,0,0,0,0,0.007287645416745696,0.022345039783671302,0.10772281822836682
2021-08-12,0.0553328452827912,0.0013369976729479,0.0212744870678472,0.21,12.4166666666667,1.27035416666667,20.79,2.8,0,0,0,0,0.007967615840904302,-0.0198968876778629,-0.1345660067070378
2021-08-13,0.0421710134961372,0.0257648522898471,0.039927861199919,0.21,12.7591666666667,1.27183333333333,22.24,0.0,0,0,0,0,-0.013161831786653998,0.024427854616899197,0.0186533741320718
2021-08-14,0.0542368411505762,0.0081573358957377,0.0482529812550478,0.21,12.8689583333333,1.27279166666667,23.4,0.0,0,0,0,0,0.012065827654438997,-0.0176075163941094,0.008325120055128803
2021-08-15,0.0589537981409122,0.0016852772769393,0.0498265732315598,0.21,13.0952083333333,1.27535416666667,23.39,0.0,0,0,0,0,0.004716956990336002,-0.006472058618798399,0.0015735919765119954
2021-08-16,0.0606170672019388,0.0035844895779731,0.0348864644238994,0.21,12.75625,1.23714583333333,21.66,0.0,0,0,0,0,0.0016632690610266024,0.0018992123010338,-0.014940108807660397
2021-08-17,0.0622803362629653,0.0290542717608416,0.0348864644238994,0.21,12.4070833333333,1.26970833333333,18.78,0.0,0,0,0,0,0.0016632690610264983,0.0254697821828685,0.0
2021-08-18,0.0589051948957646,0.0120329126053651,0.0747745952847623,0.21,12.373125,1.25535416666667,18.67,0.0,0,0,0,0,-0.0033751413672006986,-0.0170213591554765,0.039888130860862896
2021-08-19,0.0775301655804554,0.0059806967782587,0.0542378963456364,0.21,12.340625,1.22220833333333,18.2,0.0,0,0,0,0,0.0186249706846908,-0.0060522158271063995,-0.020536698939125894
2021-08-20,0.0722860401783265,0.0145216408385578,0.0519094490435026,0.21,12.29,1.24514583333333,17.67,0.0,0,0,0,0,-0.005244125402128902,0.0085409440602991,-0.0023284473021338015
2021-08-21,0.0689065532231509,0.0223835663956297,0.0506685227730195,0.21,12.4254166666667,1.24841666666667,19.06,0.0,0,0,0,0,-0.0033794869551756063,0.0078619255570719,-0.0012409262704830976
2021-08-22,0.0932512215969509,0.0129790785509364,0.0402398434390592,0.21,12.32375,1.27239583333333,20.44,0.0,0,0,0,0,0.024344668373800005,-0.0094044878446933,-0.0104286793339603
2021-08-23,0.0789365567460507,0.0201563211904853,0.0410167624270858,0.21,12.3308333333333,1.26022916666667,17.5,4.2,0,0,0,0,-0.014314664850900202,0.0071772426395488986,0.0007769189880265995
2021-08-24,0.101879199074425,0.0258825109473539,0.0792469797531742,0.21,11.868125,1.272875,13.06,6.2,0,0,0,0,0.0229426423283743,0.005726189756868602,0.038230217326088396
2021-08-25,0.106481559848071,0.0211120197187863,0.056584707297997,0.21,11.8439583333333,1.27147916666667,14.18,0.2,0,0,0,0,0.004602360773646008,-0.004770491228567601,-0.0226622724551772
